site_name,location_latitude,location_longitude,heading,ec_timestamp
ship_9,30.935505,-14.851863,18.2,2024-05-01 13:45:00.000 +0530
ship_9,30.931541,-14.853375,17.8,2024-05-01 13:44:00.000 +0530
ship_9,30.92894,-14.854403,17.9,2024-05-01 13:43:00.000 +0530
ship_9,30.924946,-14.855988,18,2024-05-01 13:42:00.000 +0530
ship_9,30.919607,-14.8579,17.9,2024-05-01 13:41:00.000 +0530
ship_9,30.915695,-14.859385,18,2024-05-01 13:40:00.000 +0530
ship_9,30.911764,-14.860963,18.2,2024-05-01 13:39:00.000 +0530
ship_9,30.909126,-14.862023,18.2,2024-05-01 13:38:00.000 +0530
ship_9,30.905207,-14.863505,18.2,2024-05-01 13:37:00.000 +0530
ship_9,30.901285,-14.865001,17.8,2024-05-01 13:36:00.000 +0530
ship_9,30.896086,-14.866942,18,2024-05-01 13:35:00.000 +0530
ship_9,30.892216,-14.868322,17.9,2024-05-01 13:34:00.000 +0530
ship_9,30.888384,-14.869809,17.8,2024-05-01 13:33:00.000 +0530
ship_9,30.885836,-14.870651,17.9,2024-05-01 13:32:00.000 +0530
ship_9,30.882122,-14.872021,18,2024-05-01 13:31:00.000 +0530
ship_9,30.878342,-14.873439,18.1,2024-05-01 13:30:00.000 +0530
ship_9,30.873301,-14.875279,18,2024-05-01 13:29:00.000 +0530
ship_9,30.869549,-14.876602,18.1,2024-05-01 13:28:00.000 +0530
ship_9,30.865927,-14.877977,18.1,2024-05-01 13:27:00.000 +0530
ship_9,30.863312,-14.878909,18.1,2024-05-01 13:26:00.000 +0530
ship_9,30.859545,-14.880206,17.9,2024-05-01 13:25:00.000 +0530
ship_9,30.854383,-14.882039,17.9,2024-05-01 13:24:00.000 +0530
ship_9,30.85054,-14.883359,17.9,2024-05-01 13:23:00.000 +0530
ship_9,30.846745,-14.884648,18,2024-05-01 13:22:00.000 +0530
ship_9,30.844172,-14.885566,18.5,2024-05-01 13:21:00.000 +0530
ship_9,30.840179,-14.887018,18.1,2024-05-01 13:20:00.000 +0530
ship_9,30.834881,-14.888829,17.6,2024-05-01 13:19:00.000 +0530
ship_9,30.830996,-14.890229,18,2024-05-01 13:18:00.000 +0530
ship_9,30.827045,-14.891614,18,2024-05-01 13:17:00.000 +0530
ship_9,30.823088,-14.893023,17.6,2024-05-01 13:16:00.000 +0530
ship_9,30.820452,-14.893903,17.7,2024-05-01 13:15:00.000 +0530
ship_9,30.816536,-14.895324,18.1,2024-05-01 13:14:00.000 +0530
ship_9,30.811316,-14.897256,18.5,2024-05-01 13:13:00.000 +0530
ship_9,30.807417,-14.898663,18.3,2024-05-01 13:12:00.000 +0530
ship_9,30.803499,-14.899993,17.8,2024-05-01 13:11:00.000 +0530
ship_9,30.800911,-14.900938,18.3,2024-05-01 13:10:00.000 +0530
ship_9,30.797035,-14.902295,18.2,2024-05-01 13:09:00.000 +0530
ship_9,30.792948,-14.903733,17.8,2024-05-01 13:08:00.000 +0530
ship_9,30.787737,-14.905596,17.9,2024-05-01 13:07:00.000 +0530
ship_9,30.783829,-14.907003,17.9,2024-05-01 13:06:00.000 +0530
ship_9,30.779917,-14.908443,18.2,2024-05-01 13:05:00.000 +0530
ship_9,30.77738,-14.909396,18.4,2024-05-01 13:04:00.000 +0530
ship_9,30.773525,-14.910905,17.5,2024-05-01 13:03:00.000 +0530
ship_9,30.768347,-14.912738,17.1,2024-05-01 13:02:00.000 +0530
ship_9,30.764372,-14.914093,17.9,2024-05-01 13:01:00.000 +0530
ship_9,30.760466,-14.915535,18.6,2024-05-01 13:00:00.000 +0530
ship_9,30.757824,-14.916448,17.4,2024-05-01 12:59:00.000 +0530
ship_9,30.752531,-14.918162,15.6,2024-05-01 12:58:00.000 +0530
ship_9,30.748564,-14.919471,15.7,2024-05-01 12:57:00.000 +0530
ship_9,30.744621,-14.92075,16.3,2024-05-01 12:56:00.000 +0530
ship_9,30.740744,-14.922066,16.3,2024-05-01 12:55:00.000 +0530
ship_9,30.738089,-14.922952,15.8,2024-05-01 12:54:00.000 +0530
ship_9,30.733492,-14.9243,15.7,2024-05-01 12:53:00.000 +0530
ship_9,30.729551,-14.925596,16.1,2024-05-01 12:52:00.000 +0530
ship_9,30.725552,-14.926862,15.9,2024-05-01 12:51:00.000 +0530
ship_9,30.721588,-14.928171,16,2024-05-01 12:50:00.000 +0530
ship_9,30.717661,-14.929487,16.8,2024-05-01 12:49:00.000 +0530
ship_9,30.713699,-14.930844,16.8,2024-05-01 12:48:00.000 +0530
ship_9,30.709829,-14.932131,15.7,2024-05-01 12:47:00.000 +0530
ship_9,30.705851,-14.933377,15.7,2024-05-01 12:46:00.000 +0530
ship_9,30.701893,-14.934726,15.8,2024-05-01 12:45:00.000 +0530
ship_9,30.697971,-14.936013,15.7,2024-05-01 12:44:00.000 +0530
ship_9,30.694069,-14.937433,16.1,2024-05-01 12:43:00.000 +0530
ship_9,30.690048,-14.938949,16.1,2024-05-01 12:42:00.000 +0530
ship_9,30.686186,-14.940198,16.2,2024-05-01 12:41:00.000 +0530
ship_9,30.682264,-14.941628,16.5,2024-05-01 12:40:00.000 +0530
ship_9,30.678356,-14.942983,16.2,2024-05-01 12:39:00.000 +0530
ship_9,30.67444,-14.944333,15.7,2024-05-01 12:38:00.000 +0530
ship_9,30.670527,-14.945733,15.5,2024-05-01 12:37:00.000 +0530
ship_9,30.666645,-14.947113,16.5,2024-05-01 12:36:00.000 +0530
ship_9,30.662771,-14.948651,16.9,2024-05-01 12:35:00.000 +0530
ship_9,30.659025,-14.950183,17.2,2024-05-01 12:34:00.000 +0530
ship_9,30.655149,-14.951696,17.2,2024-05-01 12:33:00.000 +0530
ship_9,30.651287,-14.95317,16.9,2024-05-01 12:32:00.000 +0530
ship_9,30.646751,-14.954886,16.6,2024-05-01 12:31:00.000 +0530
ship_9,30.642912,-14.956326,16.4,2024-05-01 12:30:00.000 +0530
ship_9,30.639086,-14.957753,16,2024-05-01 12:29:00.000 +0530
ship_9,30.635187,-14.959191,16.9,2024-05-01 12:28:00.000 +0530
ship_9,30.631157,-14.96072,17.2,2024-05-01 12:27:00.000 +0530
ship_9,30.628599,-14.961691,17.2,2024-05-01 12:26:00.000 +0530
ship_9,30.624588,-14.96309,16.9,2024-05-01 12:25:00.000 +0530
ship_9,30.620007,-14.964683,17.2,2024-05-01 12:24:00.000 +0530
ship_9,30.616039,-14.966043,16.7,2024-05-01 12:23:00.000 +0530
ship_9,30.612164,-14.967451,16.8,2024-05-01 12:22:00.000 +0530
ship_9,30.608166,-14.968942,17,2024-05-01 12:21:00.000 +0530
ship_9,30.60413,-14.970342,17.3,2024-05-01 12:20:00.000 +0530
ship_9,30.600088,-14.971681,17,2024-05-01 12:19:00.000 +0530
ship_9,30.596151,-14.973026,16.6,2024-05-01 12:18:00.000 +0530
ship_9,30.59218,-14.974446,17,2024-05-01 12:17:00.000 +0530
ship_9,30.588211,-14.975902,17.3,2024-05-01 12:16:00.000 +0530
ship_9,30.58428,-14.977339,17.4,2024-05-01 12:15:00.000 +0530
ship_9,30.580362,-14.978754,16.9,2024-05-01 12:14:00.000 +0530
ship_9,30.576385,-14.980131,16.7,2024-05-01 12:13:00.000 +0530
ship_9,30.572369,-14.981542,16.8,2024-05-01 12:12:00.000 +0530
ship_9,30.568441,-14.982924,17,2024-05-01 12:11:00.000 +0530
ship_9,30.564505,-14.984309,16.9,2024-05-01 12:10:00.000 +0530
ship_9,30.560553,-14.985639,16.8,2024-05-01 12:09:00.000 +0530
ship_9,30.556665,-14.987081,17.1,2024-05-01 12:08:00.000 +0530
ship_9,30.552629,-14.988454,17.3,2024-05-01 12:07:00.000 +0530
ship_9,30.548609,-14.989813,17,2024-05-01 12:06:00.000 +0530
ship_9,30.545292,-14.990956,16.9,2024-05-01 12:05:00.000 +0530
ship_9,30.541351,-14.992311,16.9,2024-05-01 12:04:00.000 +0530
ship_9,30.53746,-14.993669,16.9,2024-05-01 12:03:00.000 +0530
ship_9,30.532167,-14.995554,17.1,2024-05-01 12:02:00.000 +0530
ship_9,30.528206,-14.996923,17.1,2024-05-01 12:01:00.000 +0530
ship_9,30.524265,-14.998296,17.1,2024-05-01 12:00:00.000 +0530
ship_9,30.521622,-14.999227,17,2024-05-01 11:59:00.000 +0530
ship_9,30.517681,-15.000616,16.9,2024-05-01 11:58:00.000 +0530
ship_9,30.512506,-15.002471,16.8,2024-05-01 11:57:00.000 +0530
ship_9,30.508575,-15.003928,16.9,2024-05-01 11:56:00.000 +0530
ship_9,30.504677,-15.005375,17.5,2024-05-01 11:55:00.000 +0530
ship_9,30.502047,-15.006325,17.1,2024-05-01 11:54:00.000 +0530
ship_9,30.49814,-15.00783,17.3,2024-05-01 11:53:00.000 +0530
ship_9,30.492868,-15.0098,17.2,2024-05-01 11:52:00.000 +0530
ship_9,30.489006,-15.01122,17.3,2024-05-01 11:51:00.000 +0530
ship_9,30.485107,-15.012693,17.4,2024-05-01 11:50:00.000 +0530
ship_9,30.481173,-15.01423,17.2,2024-05-01 11:49:00.000 +0530
ship_9,30.478559,-15.015258,17.9,2024-05-01 11:48:00.000 +0530
ship_9,30.474682,-15.016727,17.4,2024-05-01 11:47:00.000 +0530
ship_9,30.470926,-15.018351,19.3,2024-05-01 11:46:00.000 +0530
ship_9,30.465879,-15.020636,20.4,2024-05-01 11:45:00.000 +0530
ship_9,30.461952,-15.022136,17.4,2024-05-01 11:44:00.000 +0530
ship_9,30.458675,-15.023339,17.2,2024-05-01 11:43:00.000 +0530
ship_9,30.45483,-15.024704,16.4,2024-05-01 11:42:00.000 +0530
ship_9,30.451525,-15.025901,15.7,2024-05-01 11:41:00.000 +0530
ship_9,30.447584,-15.027204,15.7,2024-05-01 11:40:00.000 +0530
ship_9,30.442404,-15.029061,15.8,2024-05-01 11:39:00.000 +0530
ship_9,30.438601,-15.030399,15.5,2024-05-01 11:38:00.000 +0530
ship_9,30.434608,-15.031767,15.6,2024-05-01 11:37:00.000 +0530
ship_9,30.432022,-15.032736,16.1,2024-05-01 11:36:00.000 +0530
ship_9,30.426771,-15.034528,16,2024-05-01 11:35:00.000 +0530
ship_9,30.422827,-15.036039,16.2,2024-05-01 11:34:00.000 +0530
ship_9,30.418972,-15.037368,16.2,2024-05-01 11:33:00.000 +0530
ship_9,30.41641,-15.038366,16.7,2024-05-01 11:32:00.000 +0530
ship_9,30.41254,-15.039857,16.5,2024-05-01 11:31:00.000 +0530
ship_9,30.408707,-15.041139,15.8,2024-05-01 11:30:00.000 +0530
ship_9,30.40345,-15.042881,15.8,2024-05-01 11:29:00.000 +0530
ship_9,30.399551,-15.044391,16.4,2024-05-01 11:28:00.000 +0530
ship_9,30.395666,-15.045688,16.9,2024-05-01 11:27:00.000 +0530
ship_9,30.391731,-15.047074,17,2024-05-01 11:26:00.000 +0530
ship_9,30.389175,-15.047909,16.8,2024-05-01 11:25:00.000 +0530
ship_9,30.385384,-15.049186,16.8,2024-05-01 11:24:00.000 +0530
ship_9,30.380199,-15.051015,16.2,2024-05-01 11:23:00.000 +0530
ship_9,30.376268,-15.052458,16.5,2024-05-01 11:22:00.000 +0530
ship_9,30.372362,-15.053813,16.8,2024-05-01 11:21:00.000 +0530
ship_9,30.369776,-15.054811,16.8,2024-05-01 11:20:00.000 +0530
ship_9,30.365231,-15.056426,16.7,2024-05-01 11:19:00.000 +0530
ship_9,30.361193,-15.057935,16.7,2024-05-01 11:18:00.000 +0530
ship_9,30.357355,-15.059305,16.3,2024-05-01 11:17:00.000 +0530
ship_9,30.353516,-15.060561,15.8,2024-05-01 11:16:00.000 +0530
ship_9,30.349672,-15.061964,16.5,2024-05-01 11:15:00.000 +0530
ship_9,30.345757,-15.06332,17.3,2024-05-01 11:14:00.000 +0530
ship_9,30.341787,-15.064924,17.4,2024-05-01 11:13:00.000 +0530
ship_9,30.33794,-15.06627,17.6,2024-05-01 11:12:00.000 +0530
ship_9,30.334032,-15.067664,17.4,2024-05-01 11:11:00.000 +0530
ship_9,30.33004,-15.069131,17.4,2024-05-01 11:10:00.000 +0530
ship_9,30.326113,-15.070642,17.4,2024-05-01 11:09:00.000 +0530
ship_9,30.322186,-15.071979,17,2024-05-01 11:08:00.000 +0530
ship_9,30.318321,-15.073249,16.7,2024-05-01 11:07:00.000 +0530
ship_9,30.314421,-15.074617,16.2,2024-05-01 11:06:00.000 +0530
ship_9,30.310547,-15.075996,17.1,2024-05-01 11:05:00.000 +0530
ship_9,30.306686,-15.077284,17.1,2024-05-01 11:04:00.000 +0530
